"PlanID","ProductID","Description","Platform","Label"
"2","2864","$5K - Speed - P1 - C-Trader","CTrader","2-Step Speed P1 - C-Trader"
"3","0","$5K - Speed - P2 - C-Trader","CTrader","2-Step Speed P2 - C-Trader"
"4","0","$5K - Speed - Funded - C-Trader","CTrader","2-Step Speed Funded - C-Trader"
"5","2869","$10K - Speed - P1 - C-Trader","CTrader","2-Step Speed P1 - C-Trader"
"6","0","$10K - Speed - P2 - C-Trader","CTrader","2-Step Speed P2 - C-Trader"
"7","0","$10K - Speed - Funded - C-Trader","CTrader","2-Step Speed Funded - C-Trader"
"8","2873","$25K - Speed - P1 - C-Trader","CTrader","2-Step Speed P1 - C-Trader"
"9","0","$25K - Speed - P2 - C-Trader","CTrader","2-Step Speed P2 - C-Trader"
"10","0","$25K - Speed - Funded - C-Trader","CTrader","2-Step Speed Funded - C-Trader"
"11","2877","$50K - Speed - P1 - C-Trader","CTrader","2-Step Speed P1 - C-Trader"
"12","0","$50K - Speed - P2 - C-Trader","CTrader","2-Step Speed P2 - C-Trader"
"13","2865","$5K - Standard - P1 - C-Trader","CTrader","2-Step Standard P1 - C-Trader"
"14","0","$5K - Standard - P2 - C-Trader","CTrader","2-Step Standard P2 - C-Trader "
"15","0","$5K - Standard - Funded - C-Trader","CTrader","2-Step Standard Funded - C-Trader"
"16","2870","$10K - Standard - P1 - C-Trader","CTrader","2-Step Standard P1 - C-Trader"
"17","0","$10K - Standard - P2 - C-Trader","CTrader","2-Step Standard P2 - C-Trader"
"18","0","$10K - Standard - Funded - C-Trader","CTrader","2-Step Standard Funded - C-Trader"
"19","2874","$25K - Standard - P1 - C-Trader","CTrader","2-Step Standard P1 - C-Trader"
"20","0","$25K - Standard - P2 - C-Trader","CTrader","2-Step Standard P2 - C-Trader"
"21","0","$25K - Standard - Funded - C-Trader","CTrader","2-Step Standard Funded - C-Trader"
"22","2878","$50K - Standard - P1 - C-Trader","CTrader","2-Step Standard P1 - C-Trader"
"23","0","$50K - Standard - P2 - C-Trader","CTrader","2-Step Standard P2 - C-Trader"
"24","0","$50K - Standard - Funded - C-Trader","CTrader","2-Step Standard Funded - C-Trader"
"25","2883","$100K - Standard - P1 - C-Trader","CTrader","2-Step Standard P1 - C-Trader"
"26","0","$100K - Standard - P2 - C-Trader","CTrader","2-Step Standard P2 - C-Trader"
"27","0","$100K - Standard - Funded - C-Trader","CTrader","2-Step Standard Funded - C-Trader"
"28","2887","$200K - Standard - P1 - C-Trader","CTrader","2-Step Standard P1 - C-Trader"
"29","0","$200K - Standard - P2 - C-Trader","CTrader","2-Step Standard P2 - C-Trader"
"30","0","$200K - Standard - Funded - C-Trader","CTrader","2-Step Standard Funded - C-Trader"
"49","2863","$5K - Nitro - P1 - C-Trader","CTrader","1-Step Nitro - P1 - C-Trader"
"50","0","$5K - Nitro - Funded - C-Trader","CTrader","1-Step Nitro - Funded - C-Trader"
"51","2868","$10K - Nitro - P1 - C-Trader","CTrader","1-Step Nitro - P1 - C-Trader"
"52","0","$10K - Nitro - Funded - C-Trader","CTrader","1-Step Nitro - Funded - C-Trader"
"53","2872","$25K - Nitro - P1 - C-Trader","CTrader","1-Step Nitro - P1 - C-Trader"
"54","0","$25K - Nitro - Funded - C-Trader","CTrader","1-Step Nitro - Funded - C-Trader"
"55","2876","$50K - Nitro - P1 - C-Trader","CTrader","1-Step Nitro - P1 - C-Trader"
"56","0","$50K - Nitro - Funded - C-Trader","CTrader","1-Step Nitro - Funded - C-Trader"
"57","2881","$100K - Nitro - P1 - C-Trader","CTrader","1-Step Nitro - P1 - C-Trader"
"58","0","$100K - Nitro - Funded - C-Trader","CTrader","1-Step Nitro - Funded -C-Trader"
"59","2885","$200K - Nitro - P1 - C-Trader","CTrader","1-Step Nitro - P1 - C-Trader"
"60","0","$200K - Nitro - Funded - C-Trader","CTrader","1-Step Nitro - Funded - C-Trader"
"61","0","$50K - Speed - Funded - C-Trader","CTrader","2-Step Speed Funded - C-Trader"
"62","2882","$100K - Speed - P1 - C-Trader","CTrader","2-Step Speed P1 - C-Trader"
"63","0","$100K - Speed - P2 - C-Trader","CTrader","2-Step Speed P2 - C-Trader"
"64","0","$100K - Speed - Funded - C-Trader","CTrader","2-Step Speed Funded - C-Trader"
"65","2886","$200K - Speed - P1 - C-Trader","CTrader","2-Step Speed P1 - C-Trader"
"66","0","$200K - Speed - P2 - C-Trader","CTrader","2-Step Speed P2 - C-Trader"
"67","0","$200K - Speed - Funded - C-Trader","CTrader","2-Step Speed Funded - C-Trader"
"68","2901","$5K - Speed - P1 - Match","MatchTrader","2-Step Speed P1 - Match"
"69","0","$5K - Speed - P2 - Match","MatchTrader","2-Step Speed P2 - Match"
"70","0","$5K - Speed - Funded - Match","MatchTrader","2-Step Speed Funded - Match"
"71","2908","$10K - Speed - P1 - Match","MatchTrader","2-Step Speed P1 - Match"
"72","0","$10K - Speed - P2 - Match","MatchTrader","2-Step Speed P2 - Match"
"73","0","$10K - Speed - Funded - Match","MatchTrader","2-Step Speed Funded - Match"
"74","2911","$25K - Speed - P1 - Match","MatchTrader","2-Step Speed P1 - Match"
"75","0","$25K - Speed - P2 - Match","MatchTrader","2-Step Speed P2 - Match"
"76","0","$25K - Speed - Funded - Match","MatchTrader","2-Step Speed Funded - Match"
"77","2912","$50K - Speed - P1 - Match","MatchTrader","2-Step Speed P1 - Match"
"78","0","$50K - Speed - P2 - Match","MatchTrader","2-Step Speed P2 - Match"
"79","0","$50K - Speed - Funded - Match","MatchTrader","2-Step Speed Funded - Match"
"80","2909","$100K - Speed - P1 - Match","MatchTrader","2-Step Speed P1 - Match"
"81","0","$100K - Speed - P2 - Match","MatchTrader","2-Step Speed P2 - Match"
"82","0","$100K - Speed - Funded - Match","MatchTrader","2-Step Speed Funded - Match"
"83","2910","$200K - Speed - P1 - Match","MatchTrader","2-Step Speed P1 - Match"
"84","0","$200K - Speed - P2 - Match","MatchTrader","2-Step Speed P2 - Match"
"85","0","$200K - Speed - Funded - Match","MatchTrader","2-Step Speed Funded - Match"
"86","2902","$5K - Standard - P1 - Match","MatchTrader","2-Step Standard P1 - Match"
"87","0","$5K - Standard - P2 - Match","MatchTrader","2-Step Standard P2 - Match"
"88","0","$5K - Standard - Funded - Match","MatchTrader","2-Step Standard Funded - Match"
"89","2913","$10K - Standard - P1 - Match","MatchTrader","2-Step Standard P1 - Match"
"90","0","$10K - Standard - P2 - Match","MatchTrader","2-Step Standard P2 - Match"
"91","0","$10K - Standard - Funded - Match","MatchTrader","2-Step Standard Funded - Match"
"92","2916","$25K - Standard - P1 - Match","MatchTrader","2-Step Standard P1 - Match"
"93","0","$25K - Standard - P2 - Match","MatchTrader","2-Step Standard P2 - Match"
"94","0","$25K - Standard - Funded - Match","MatchTrader","2-Step Standard Funded - Match"
"95","2917","$50K - Standard - P1 - Match","MatchTrader","2-Step Standard P1 - Match"
"96","0","$50K - Standard - P2 - Match","MatchTrader","2-Step Standard P2 - Match"
"97","0","$50K - Standard - Funded - Match","MatchTrader","2-Step Standard Funded - Match"
"98","2914","$100K - Standard - P1 - Match","MatchTrader","2-Step Standard P1 - Match"
"99","0","$100K - Standard - P2 - Match","MatchTrader","2-Step Standard P2 - Match"
"100","0","$100K - Standard - Funded - Match","MatchTrader","2-Step Standard Funded - Match"
"101","2915","$200K - Standard - P1 - Match","MatchTrader","2-Step Standard P1 - Match"
"102","0","$200K - Standard - P2 - Match","MatchTrader","2-Step Standard P2 - Match"
"103","0","$200K - Standard - Funded - Match","MatchTrader","2-Step Standard Funded - Match"
"123","2900","$5K - Nitro - P1 - Match","MatchTrader","1-Step Nitro - P1 - Match"
"124","0","$5K - Nitro - Funded - Match","MatchTrader","1-Step Nitro - Funded - Match"
"125","2903","$10K - Nitro - P1 - Match","MatchTrader","1-Step Nitro - P1 - Match"
"126","0","$10K - Nitro - Funded - Match","MatchTrader","1-Step Nitro - Funded - Match"
"127","2906","$25K - Nitro - P1 - Match","MatchTrader","1-Step Nitro - P1 - Match"
"128","0","$25K - Nitro - Funded - Match","MatchTrader","1-Step Nitro - Funded - Match"
"129","2907","$50K - Nitro - P1 - Match","MatchTrader","1-Step Nitro - P1 - Match"
"130","0","$50K - Nitro - Funded - Match","MatchTrader","1-Step Nitro - Funded - Match"
"133","2904","$100K - Nitro - P1 - Match","MatchTrader","1-Step Nitro - P1 - Match"
"134","0","$100K - Nitro - Funded - Match","MatchTrader","1-Step Nitro - Funded - Match"
"135","2905","$200K - Nitro - P1 - Match","MatchTrader","1-Step Nitro - P1 - Match"
"136","0","$200K - Nitro - Funded - Match","MatchTrader","1-Step Nitro - Funded - Match"
"237","6652","$5k - Instant Funded - C-Trader","CTrader","Instant Funded - C-Trader"
"238","6651","$10k - Instant Funded - C-Trader","CTrader","Instant Funded - C-Trader"
"239","6650","$25k - Instant Funded - C-Trader","CTrader","Instant Funded - C-Trader"
"240","6649","$50k - Instant Funded - C-Trader","CTrader","Instant Funded - C-Trader"
"241","6648","$100k - Instant Funded - C-Trader","CTrader","Instant Funded - C-Trader"
"243","6646","$5k - Instant Funded - Match","MatchTrader","Instant Funded - Match"
"244","6645","$10k - Instant Funded - Match","MatchTrader","Instant Funded - Match"
"245","6644","$25k - Instant Funded - Match","MatchTrader","Instant Funded - Match"
"246","6643","$50k - Instant Funded - Match ","MatchTrader","Instant Funded - Match "
"247","6642","$100k - Instant Funded - Match ","MatchTrader","Instant Funded - Match "
"248","8770","$5k - Instant Funded Pro - C-Trader ","CTrader","Instant Funded Pro - C-Trader "
"249","8771","$10k - Instant Funded Pro - C-Trader","CTrader","Instant Funded Pro - C-Trader "
"250","8772","$25k - Instant Funded Pro - C-Trader","CTrader","Instant Funded Pro - C-Trader"
"251","8773","$50k - Instant Funded Pro - C-Trader","CTrader","Instant Funded Pro - C-Trader"
"252","8774","$100k - Instant Funded Pro - C-Trader","CTrader","Instant Funded Pro - C-Trader"
"253","8775","$5k - Instant Funded Pro - Match","MatchTrader","Instant Funded Pro - Match"
"254","8776","$10k - Instant Funded Pro - Match","MatchTrader","Instant Funded Pro - Match"
"255","8777","$25k - Instant Funded Pro - Match","MatchTrader","Instant Funded Pro - Match"
"256","8778","$50k - Instant Funded Pro - Match","MatchTrader","Instant Funded Pro - Match"
"257","8779","$100k - Instant Funded Pro - Match","MatchTrader","Instant Funded Pro - Match "
"258","10070","$5k - 1-Step Nitro Pro - cTrader","CTrader","1-Step Nitro Pro"
"259","10069","$10k - 1-Step Nitro Pro - cTrader","CTrader","1-Step Nitro Pro"
"260","10068","$25k - 1-Step Nitro Pro - cTrader","CTrader","1-Step Nitro Pro"
"261","10067","$50k - 1-Step Nitro Pro - cTrader","CTrader","1-Step Nitro Pro"
"262","10066","$100k - 1-Step Nitro Pro - cTrader","CTrader","1-Step Nitro Pro"
"263","10072","$100k - 1-Step Nitro Pro - Match","MatchTrader","1-Step Nitro Pro"
"264","10073","$50k - 1-Step Nitro Pro - Match","MatchTrader","1-Step Nitro Pro"
"265","10074","$25k - 1-Step Nitro Pro - Match","MatchTrader","1-Step Nitro Pro"
"266","10075","$10k - 1-Step Nitro Pro - Match","MatchTrader","1-Step Nitro Pro"
"267","10076","$5k - 1-Step Nitro Pro - Match","MatchTrader","1-Step Nitro Pro"
"268","0","$5k - 1-Step Nitro Pro Funded - Match","MatchTrader","1-Step Nitro Pro - Funded"
"269","0","$10k - 1-Step Nitro Pro Funded - Match","MatchTrader","1-Step Nitro Pro - Funded"
"270","0","$25k - 1-Step Nitro Pro Funded - Match","MatchTrader","1-Step Nitro Pro - Funded"
"271","0","$50k - 1-Step Nitro Pro Funded - Match","MatchTrader","1-Step Nitro Pro - Funded"
"272","0","$100k - 1-Step Nitro Pro Funded - Match","MatchTrader","1-Step Nitro Pro - Funded"
"273","0","$100k - 1-Step Nitro Pro Funded - cTrader","CTrader","1-Step Nitro Pro - Funded"
"274","0","$50k - 1-Step Nitro Pro Funded - cTrader","CTrader","1-Step Nitro Pro - Funded"
"275","0","$25k - 1-Step Nitro Pro Funded - cTrader","CTrader","1-Step Nitro Pro - Funded"
"276","0","$10k - 1-Step Nitro Pro Funded - cTrader","CTrader","1-Step Nitro Pro - Funded"
"277","0","$5k - 1-Step Nitro Pro Funded - cTrader","CTrader","1-Step Nitro Pro - Funded"
"278","0","$200k - Instant Funded Pro - C-Trader","CTrader","Instant Funded Pro - C-Trader"
"279","0","$200k - Instant Funded Pro - Match","MatchTrader","Instant Funded Pro - Match"
"280","15031","$5K - Speed - P1 - TL","TradeLocker","2-Step Speed P1 - TL"
"281","15027","$10K - Speed - P1 - TL","TradeLocker","2-Step Speed P1 - TL"
"282","15030","$25K - Speed - P1 - TL","TradeLocker","2-Step Speed P1 - TL"
"283","15032","$50K - Speed - P1 - TL","TradeLocker","2-Step Speed P1 - TL"
"284","15028","$100K - Speed - P1 - TL","TradeLocker","2-Step Speed P1 - TL"
"285","15029","$200K - Speed - P1 - TL","TradeLocker","2-Step Speed P1 - TL"
"286","0","$5K - Speed - P2 - TL","TradeLocker","2-Step Speed P2 - TL"
"287","0","$10K - Speed - P2 - TL","TradeLocker","2-Step Speed P2 - TL"
"288","0","$25K - Speed - P2 - TL","TradeLocker","2-Step Speed P2 - TL"
"289","0","$50K - Speed - P2 - TL","TradeLocker","2-Step Speed P2 - TL"
"290","0","$100K - Speed - P2 - TL","TradeLocker","2-Step Speed P2 - TL"
"291","0","$200K - Speed - P2 - TL","TradeLocker","2-Step Speed P2 - TL"
"292","0","$5K - Speed - Funded - TL","TradeLocker","2-Step Speed Funded - TL"
"293","0","$10K - Speed - Funded - TL","TradeLocker","2-Step Speed Funded - TL"
"294","0","$25K - Speed - Funded - TL","TradeLocker","2-Step Speed Funded - TL"
"295","0","$50K - Speed - Funded - TL","TradeLocker","2-Step Speed Funded - TL"
"296","0","$100K - Speed - Funded - TL","TradeLocker","2-Step Speed Funded - TL"
"297","0","$200K - Speed - Funded - TL","TradeLocker","2-Step Speed Funded - TL"
"298","15037","$5K - Standard - P1 - TL","TradeLocker","2-Step Standard P1 - TL"
"299","15033","$10K - Standard - P1 - TL","TradeLocker","2-Step Standard P1 - TL"
"300","15036","$25K - Standard - P1 - TL","TradeLocker","2-Step Standard P1 - TL"
"301","15038","$50K - Standard - P1 - TL","TradeLocker","2-Step Standard P1 - TL"
